"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.332538548E2,6.502712480E1,2.548627125E1,1.179083700E1,1.371935938E0,9.029193233E1,2.544741059E0,3.000000000E0
1.342538410E2,6.502712097E1,2.548629796E1,1.152920228E1,1.305231046E0,9.458060613E1,2.584743499E0,3.000000000E0
1.352553958E2,6.502711974E1,2.548632715E1,1.152779299E1,1.219529594E0,9.216946263E1,2.605571941E0,3.000000000E0
1.362554040E2,6.502711695E1,2.548636157E1,1.178329338E1,1.316942692E0,9.238522124E1,2.603079594E0,3.000000000E0
1.372553817E2,6.502711556E1,2.548639967E1,1.222950192E1,1.383285955E0,9.176204274E1,2.582978358E0,3.000000000E0
1.382553829E2,6.502711370E1,2.548643805E1,1.258116014E1,1.378612583E0,9.180361210E1,2.553829445E0,3.000000000E0
1.392553865E2,6.502711415E1,2.548646725E1,1.223287873E1,1.361651522E0,9.451153781E1,2.541580817E0,3.000000000E0
1.402553639E2,6.502711329E1,2.548650338E1,1.190584134E1,1.373728746E0,9.347231825E1,2.514501772E0,3.000000000E0
1.412553691E2,6.502711365E1,2.548653841E1,1.141232488E1,1.365477974E0,9.462366394E1,2.488776673E0,3.000000000E0
1.422553743E2,6.502711307E1,2.548656882E1,1.136061338E1,1.311340439E0,9.552618504E1,2.464337842E0,3.000000000E0
1.432553605E2,6.502711074E1,2.548660854E1,1.194270294E1,1.498886582E0,9.859864331E1,2.441120946E0,3.000000000E0
1.442553617E2,6.502711198E1,2.548664056E1,1.175940120E1,1.405105954E0,9.718233470E1,2.419064905E0,3.003059869E0
1.452553635E2,6.502710947E1,2.548666425E1,1.126418964E1,1.275047618E0,9.935752308E1,2.398111673E0,3.000000000E0
1.462553564E2,6.502710480E1,2.548667092E1,1.060565558E1,7.864842780E-1,1.128103351E2,2.378206124E0,3.000000000E0
1.472553629E2,6.502709700E1,2.548671107E1,1.116396893E1,1.309027597E0,1.160335086E2,2.381889621E0,3.000000000E0
1.482553723E2,6.502708863E1,2.548673809E1,1.061511145E1,1.485962144E0,1.200684936E2,2.362795138E0,3.000000000E0
1.492553608E2,6.502708164E1,2.548675958E1,1.055113198E1,1.374871192E0,1.212665504E2,2.344655376E0,3.000000000E0
1.502553487E2,6.502707567E1,2.548678099E1,9.973996325E0,1.307459587E0,1.220270799E2,2.327422613E0,3.000000000E0
1.512553413E2,6.502706943E1,2.548679706E1,9.967267674E0,1.143783201E0,1.252464787E2,2.311051484E0,3.000000000E0
1.522553267E2,6.502705745E1,2.548680629E1,1.019529044E1,1.093084514E0,1.420670773E2,2.295498912E0,3.000000000E0
1.532553149E2,6.502704506E1,2.548681406E1,9.844516986E0,1.129444786E0,1.544381609E2,2.280723960E0,3.000000000E0
1.542553027E2,6.502703614E1,2.548681573E1,9.595619506E0,9.250294535E-1,1.642735532E2,2.266687769E0,3.000000000E0
1.552552916E2,6.502701857E1,2.548682821E1,9.201733201E0,1.297766233E0,1.648321789E2,2.253353368E0,3.000000000E0
1.562552795E2,6.502700649E1,2.548683446E1,7.329707988E0,1.318184980E0,1.649873127E2,2.263095962E0,3.000000000E0
1.572552685E2,6.502700007E1,2.548682157E1,7.165504462E0,7.768764658E-1,1.826710000E2,2.302728520E0,3.000000000E0
1.582552564E2,6.502698105E1,2.548682807E1,7.506402043E0,8.583250854E-1,1.764850679E2,2.409420286E0,3.000000000E0
1.592552443E2,6.502696681E1,2.548682032E1,6.714185623E0,1.970359330E0,NaN,2.525047889E0,3.000000000E0
1.602552329E2,6.502694901E1,2.548682069E1,6.944465248E0,8.509455856E-1,1.932864207E2,2.535309589E0,3.000000000E0
1.612552199E2,6.502692796E1,2.548682531E1,6.669536668E0,1.028681546E0,1.884483491E2,2.654513675E0,3.000000000E0
1.622552088E2,6.502690976E1,2.548683126E1,6.459226042E0,1.013492455E0,1.835892809E2,2.661529620E0,3.000000000E0
1.632551962E2,6.502689257E1,2.548683170E1,6.076517195E0,1.071841647E0,1.866407303E2,2.663868035E0,3.000000000E0
1.642551841E2,6.502687094E1,2.548683435E1,6.060715121E0,1.199592285E0,1.842737042E2,2.771273167E0,3.000000000E0
1.652551713E2,6.502685310E1,2.548682426E1,6.129815189E0,1.243044734E0,1.939727514E2,2.876659785E0,3.000000000E0
